ID	LABEL	FNDDS1112	FNDDS1314
FNDDS_11710674	Enfamil EnfaCare LIPIL, infant formula, prepared from powder, made with tap water	11710674	11710674
FNDDS_11710675	Enfamil EnfaCare LIPIL, infant formula, prepared from powder, made with plain bottled water	11710675	11710675
FNDDS_11710676	Enfamil EnfaCare LIPIL, infant formula, prepared from powder, made with baby water	11710676	11710676
FNDDS_11710677	Enfamil Gentlease LIPIL, infant formula, prepared from powder, made with tap water	11710677	11710677
FNDDS_11710678	Enfamil Gentlease LIPIL, infant formula, prepared from powder, made with plain bottled water	11710678	11710678
FNDDS_11710679	Enfamil Gentlease LIPIL, infant formula, prepared from powder, made with baby water	11710679	11710679
FNDDS_11710680	Enfamil Enfagrow PREMIUM Next Step LIPIL, infant formula, NS as to form 	11710680	11710680
FNDDS_11710681	Enfamil Enfagrow PREMIUM Next Step LIPIL, infant formula, ready-to-feed 	11710681	11710681
FNDDS_11710683	Enfamil Enfagrow PREMIUM Next Step LIPIL, infant formula, prepared from powder, made with water, NFS 	11710683	11710683
FNDDS_11710687	Enfamil Enfagrow PREMIUM Next Step LIPIL, infant formula, prepared from powder, made with tap water	11710687	11710687
FNDDS_11710688	Enfamil Enfagrow PREMIUM Next Step LIPIL, infant formula, prepared from powder, made with plain bottled water	11710688	11710688
FNDDS_11710689	Enfamil Enfagrow PREMIUM Next Step LIPIL, infant formula, prepared from powder, made with baby water	11710689	11710689
FNDDS_11710690	Enfamil Gentlease Next Step LIPIL, infant formula, NS as to form	11710690	11710690
FNDDS_11710693	Enfamil Gentlease Next Step LIPIL, infant formula, prepared from powder, made with water, NFS	11710693	11710693
FNDDS_11710697	Enfamil Gentlease Next Step LIPIL, infant formula, prepared from powder, made with tap water 	11710697	11710697
FNDDS_11710698	Enfamil Gentlease Next Step LIPIL, infant formula, prepared from powder, made with plain bottled water  	11710698	11710698
FNDDS_11710699	Enfamil Gentlease Next Step LIPIL, infant formula, prepared from powder, made with baby water  	11710699	11710699
FNDDS_11710800	Pediasure, infant formula, NS as to form	11710800	11710800
FNDDS_11710801	Pediasure, infant formula, ready-to-feed	11710801	11710801
FNDDS_11710805	Pediasure Fiber, infant formula, NS as to form	11710805	11710805
FNDDS_11710806	Pediasure Fiber, infant formula, ready-to-feed	11710806	11710806
FNDDS_11710910	Gerber Good Start  Gentle Plus, infant formula, NS as to form	11710910	11710910
